name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Olivia,F,2020,1,17535,1880,489456,,,,,,,,
Emma,F,2020,2,15581,1880,707552,,,,,,,,
Ava,F,2020,3,13084,1880,293852,,,,,,,,
Charlotte,F,2020,4,13003,1880,388932,,,,,,,,
Sophia,F,2020,5,12976,1880,377481,,,,,,,,
Amelia,F,2020,6,12704,1880,217761,,,,,,,,
Isabella,F,2020,7,12066,1880,361449,,,,,,,,
Mia,F,2020,8,11157,1933,253293,,,,,,,,
Evelyn,F,2020,9,9445,1880,595215,,,,,,,,
Harper,F,2020,10,8778,1881,106394,,,,,,,,
Camila,F,2020,11,8096,1914,85976,,,,,,,,
Gianna,F,2020,12,7826,1951,78422,,,,,,,,
Abigail,F,2020,13,7817,1880,384086,,,,,,,,
Luna,F,2020,14,7770,1880,49323,,,,,,,,
Ella,F,2020,15,7303,1880,321388,,,,,,,,
Elizabeth,F,2020,16,7216,1880,1658880,,,,,,,,
Sofia,F,2020,17,6926,1881,148425,,,,,,,,
Emily,F,2020,18,6856,1880,867276,,,,,,,,
Avery,F,2020,19,6698,1880,199364,,,,,,,,
Mila,F,2020,20,6602,1881,55421,,,,,,,,
Scarlett,F,2020,21,6455,1937,79795,,,,,,,,
Eleanor,F,2020,22,6335,1880,301600,,,,,,,,
Madison,F,2020,23,6196,1880,401087,,,,,,,,
Layla,F,2020,24,6174,1950,100195,,,,,,,,
Penelope,F,2020,25,6099,1880,78540,,,,,,,,
Aria,F,2020,26,6093,1900,65197,,,,,,,,
Chloe,F,2020,27,6093,1880,223038,,,,,,,,
Grace,F,2020,28,5569,1880,510138,,,,,,,,
Ellie,F,2020,29,5562,1880,76597,,,,,,,,
Nora,F,2020,30,5550,1880,162851,,,,,,,,
Hazel,F,2020,31,5457,1880,274058,,,,,,,,
Zoey,F,2020,32,5331,1967,94480,,,,,,,,
Riley,F,2020,33,5309,1880,214993,,,,,,,,
Victoria,F,2020,34,5249,1880,506710,,,,,,,,
Lily,F,2020,35,5195,1880,158955,,,,,,,,
Aurora,F,2020,36,5184,1880,67367,,,,,,,,
Violet,F,2020,37,5075,1880,152780,,,,,,,,
Nova,F,2020,38,4940,1880,31238,,,,,,,,
Hannah,F,2020,39,4910,1880,444864,,,,,,,,
Emilia,F,2020,40,4750,1880,45463,,,,,,,,
Zoe,F,2020,41,4725,1880,137271,,,,,,,,
Stella,F,2020,42,4624,1880,184732,,,,,,,,
Everly,F,2020,43,4590,1944,26133,,,,,,,,
Isla,F,2020,44,4538,1886,30597,,,,,,,,
Leah,F,2020,45,4482,1880,236249,,,,,,,,
Lillian,F,2020,46,4468,1880,455882,,,,,,,,
Addison,F,2020,47,4467,1880,143513,,,,,,,,
Willow,F,2020,48,4345,1890,40755,,,,,,,,
Lucy,F,2020,49,4339,1880,212102,,,,,,,,
Paisley,F,2020,50,4333,1966,46136,,,,,,,,
Natalie,F,2020,51,4258,1880,362379,,,,,,,,
Naomi,F,2020,52,4066,1880,169075,,,,,,,,
Eliana,F,2020,53,4038,1961,46759,,,,,,,,
Brooklyn,F,2020,54,3989,1972,112162,,,,,,,,
Elena,F,2020,55,3904,1880,85756,,,,,,,,
Aubrey,F,2020,56,3886,1880,150545,,,,,,,,
Claire,F,2020,57,3822,1880,196952,,,,,,,,
Ivy,F,2020,58,3794,1880,61225,,,,,,,,
Kinsley,F,2020,59,3744,1978,33689,,,,,,,,
Audrey,F,2020,60,3735,1881,292701,,,,,,,,
Maya,F,2020,61,3696,1940,103254,,,,,,,,
Genesis,F,2020,62,3654,1964,78319,,,,,,,,
Skylar,F,2020,63,3608,1959,92068,,,,,,,,
Bella,F,2020,64,3590,1880,70074,,,,,,,,
Aaliyah,F,2020,65,3550,1976,94808,,,,,,,,
Madelyn,F,2020,66,3520,1890,98448,,,,,,,,
Savannah,F,2020,67,3515,1880,177605,,,,,,,,
Anna,F,2020,68,3479,1880,903035,,,,,,,,
Delilah,F,2020,69,3384,1880,46490,,,,,,,,
Serenity,F,2020,70,3366,1972,64313,,,,,,,,
Caroline,F,2020,71,3345,1880,236167,,,,,,,,
Kennedy,F,2020,72,3342,1912,85125,,,,,,,,
Valentina,F,2020,73,3331,1897,43831,,,,,,,,
Ruby,F,2020,74,3308,1880,361811,,,,,,,,
Sophie,F,2020,75,3287,1880,120581,,,,,,,,
Alice,F,2020,76,3268,1880,572559,,,,,,,,
Gabriella,F,2020,77,3197,1890,123683,,,,,,,,
Sadie,F,2020,78,3174,1880,131771,,,,,,,,
Ariana,F,2020,79,3136,1957,107080,,,,,,,,
Allison,F,2020,80,3132,1880,309152,,,,,,,,
Hailey,F,2020,81,3129,1922,167348,,,,,,,,
Autumn,F,2020,82,3106,1910,130532,,,,,,,,
Nevaeh,F,2020,83,3076,1997,86342,,,,,,,,
Natalia,F,2020,84,3059,1890,71653,,,,,,,,
Quinn,F,2020,85,3058,1915,71487,,,,,,,,
Josephine,F,2020,86,3027,1880,314436,,,,,,,,
Sarah,F,2020,87,3025,1880,1087607,,,,,,,,
Cora,F,2020,88,3007,1880,142494,,,,,,,,
Emery,F,2020,89,2959,1880,47096,,,,,,,,
Samantha,F,2020,90,2929,1880,582173,,,,,,,,
Piper,F,2020,91,2881,1951,51707,,,,,,,,
Leilani,F,2020,92,2860,1917,38339,,,,,,,,
Eva,F,2020,93,2826,1880,273365,,,,,,,,
Everleigh,F,2020,94,2799,2008,10043,,,,,,,,
Madeline,F,2020,95,2771,1880,193371,,,,,,,,
Lydia,F,2020,96,2767,1880,173253,,,,,,,,
Jade,F,2020,97,2717,1944,94504,,,,,,,,
Peyton,F,2020,98,2703,1884,127644,,,,,,,,
Brielle,F,2020,99,2697,1972,38814,,,,,,,,
Adeline,F,2020,100,2694,1880,64481,,,,,,,,
Vivian,F,2020,101,2680,1880,216046,,,,,,,,
Rylee,F,2020,102,2677,1980,61934,,,,,,,,
Clara,F,2020,103,2664,1880,286832,,,,,,,,
Raelynn,F,2020,104,2585,1947,22047,,,,,,,,
Melanie,F,2020,105,2501,1886,252378,,,,,,,,
Melody,F,2020,106,2498,1914,101500,,,,,,,,
Julia,F,2020,107,2485,1880,466082,,,,,,,,
Athena,F,2020,108,2482,1902,39002,,,,,,,,
Maria,F,2020,109,2460,1880,555635,,,,,,,,
Liliana,F,2020,110,2457,1950,60716,,,,,,,,
Hadley,F,2020,111,2414,1906,36567,,,,,,,,
Arya,F,2020,112,2356,1982,21145,,,,,,,,
Rose,F,2020,113,2356,1880,490771,,,,,,,,
Reagan,F,2020,114,2355,1913,64394,,,,,,,,
Eliza,F,2020,115,2335,1880,58825,,,,,,,,
Adalynn,F,2020,116,2327,1996,24000,,,,,,,,
Kaylee,F,2020,117,2318,1943,132416,,,,,,,,
Lyla,F,2020,118,2293,1884,35362,,,,,,,,
Mackenzie,F,2020,119,2283,1973,139711,,,,,,,,
Alaia,F,2020,120,2254,1986,6299,,,,,,,,
Isabelle,F,2020,121,2226,1880,97794,,,,,,,,
Charlie,F,2020,122,2219,1880,202665,,,,,,,,
Arianna,F,2020,123,2193,1963,96000,,,,,,,,
Mary,F,2020,124,2188,1880,4145486,,,,,,,,
Remi,F,2020,125,2185,1915,14477,,,,,,,,
Margaret,F,2020,126,2178,1880,1257168,,,,,,,,
Iris,F,2020,127,2159,1880,86838,,,,,,,,
Parker,F,2020,128,2131,1880,132921,,,,,,,,
Ximena,F,2020,129,2018,1966,30374,,,,,,,,
Eden,F,2020,130,2016,1917,45849,,,,,,,,
Ayla,F,2020,131,2006,1963,23690,,,,,,,,
Kylie,F,2020,132,2006,1960,114402,,,,,,,,
Elliana,F,2020,133,2000,1986,17210,,,,,,,,
Josie,F,2020,134,1987,1880,62840,,,,,,,,
Katherine,F,2020,135,1968,1880,643993,,,,,,,,
